Date,Product_Name,Category,Quantity_Sold,Price,Revenue,Region,Customer_Type
10/19/2025,Ibuprofen,Pain Relief,217,8,1736,East,Hospital
8/21/2025,Amoxicillin,Antibiotic,176,20,3520,North,Retail
5/11/2025,Amoxicillin,Antibiotic,227,20,4540,East,Clinic
12/22/2025,Azithromycin,Antibiotic,129,25,3225,North,Retail
4/18/2025,Omeprazole,Gastro,19,12,228,North,Hospital
5/25/2025,Omeprazole,Gastro,83,12,996,South,Clinic
5/14/2025,Azithromycin,Antibiotic,225,25,5625,South,Hospital
9/1/2025,Azithromycin,Antibiotic,188,25,4700,East,Retail
1/20/2025,Cetirizine,Allergy,143,6,858,West,Hospital
1/4/2025,Omeprazole,Gastro,63,12,756,West,Hospital
8/2/2025,Metformin,Diabetes,234,15,3510,East,Clinic
8/7/2025,Paracetamol,Tablet,212,5,1060,South,Clinic
12/23/2025,Metformin,Diabetes,12,15,180,West,Hospital
3/24/2025,Amoxicillin,Antibiotic,63,20,1260,South,Clinic
3/2/2025,Metformin,Diabetes,124,15,1860,South,Retail
5/8/2025,Cetirizine,Allergy,114,6,684,South,Retail
11/1/2025,Ibuprofen,Pain Relief,115,8,920,West,Clinic
3/18/2025,Cetirizine,Allergy,234,6,1404,East,Hospital
3/11/2025,Insulin,Diabetes,96,50,4800,South,Clinic
8/12/2025,Paracetamol,Tablet,101,5,505,North,Hospital
10/10/2025,Ibuprofen,Pain Relief,106,8,848,North,Retail
5/8/2025,Vitamin C,Supplement,156,10,1560,South,Hospital
10/28/2025,Cetirizine,Allergy,164,6,984,East,Retail
9/14/2025,Paracetamol,Tablet,160,5,800,North,Clinic
6/20/2025,Omeprazole,Gastro,59,12,708,North,Clinic
4/8/2025,Ibuprofen,Pain Relief,137,8,1096,North,Hospital
5/5/2025,Insulin,Diabetes,130,50,6500,North,Clinic
5/6/2025,Ibuprofen,Pain Relief,224,8,1792,East,Retail
12/15/2025,Ibuprofen,Pain Relief,155,8,1240,East,Hospital
2/26/2025,Cetirizine,Allergy,198,6,1188,West,Retail
2/11/2025,Vitamin C,Supplement,73,10,730,South,Retail
4/26/2025,Cetirizine,Allergy,125,6,750,West,Clinic
8/16/2025,Ibuprofen,Pain Relief,104,8,832,North,Hospital
1/9/2025,Ibuprofen,Pain Relief,242,8,1936,East,Hospital
12/10/2025,Amoxicillin,Antibiotic,76,20,1520,West,Clinic
3/3/2025,Insulin,Diabetes,230,50,11500,East,Retail
10/28/2025,Azithromycin,Antibiotic,200,25,5000,West,Clinic
11/19/2025,Cetirizine,Allergy,62,6,372,North,Retail
12/3/2025,Omeprazole,Gastro,237,12,2844,West,Clinic
5/24/2025,Ibuprofen,Pain Relief,192,8,1536,West,Retail
1/28/2025,Insulin,Diabetes,237,50,11850,North,Hospital
7/2/2025,Omeprazole,Gastro,21,12,252,East,Retail
6/12/2025,Amoxicillin,Antibiotic,247,20,4940,East,Hospital
6/7/2025,Omeprazole,Gastro,115,12,1380,West,Clinic
1/31/2025,Cetirizine,Allergy,248,6,1488,North,Clinic
2/13/2025,Paracetamol,Tablet,41,5,205,West,Clinic
4/17/2025,Ibuprofen,Pain Relief,247,8,1976,South,Clinic
5/31/2025,Ibuprofen,Pain Relief,80,8,640,West,Clinic
8/6/2025,Azithromycin,Antibiotic,30,25,750,West,Retail
4/18/2025,Ibuprofen,Pain Relief,67,8,536,West,Hospital
5/27/2025,Azithromycin,Antibiotic,101,25,2525,North,Clinic
3/18/2025,Ibuprofen,Pain Relief,242,8,1936,East,Retail
6/2/2025,Metformin,Diabetes,158,15,2370,East,Retail
10/2/2025,Ibuprofen,Pain Relief,140,8,1120,North,Hospital
5/4/2025,Metformin,Diabetes,64,15,960,South,Hospital
8/28/2025,Aspirin,Tablet,90,7,630,North,Retail
1/23/2025,Ibuprofen,Pain Relief,95,8,760,West,Retail
11/27/2025,Omeprazole,Gastro,45,12,540,North,Hospital
8/4/2025,Vitamin C,Supplement,168,10,1680,East,Hospital
8/29/2025,Omeprazole,Gastro,86,12,1032,East,Retail
11/3/2025,Omeprazole,Gastro,248,12,2976,East,Retail
5/5/2025,Vitamin C,Supplement,175,10,1750,North,Retail
9/12/2025,Azithromycin,Antibiotic,248,25,6200,South,Retail
1/28/2025,Azithromycin,Antibiotic,83,25,2075,North,Retail
6/14/2025,Vitamin C,Supplement,177,10,1770,East,Hospital
9/17/2025,Ibuprofen,Pain Relief,74,8,592,East,Clinic
6/4/2025,Aspirin,Tablet,131,7,917,West,Clinic
1/13/2025,Azithromycin,Antibiotic,243,25,6075,West,Clinic
11/17/2025,Insulin,Diabetes,222,50,11100,West,Hospital
7/7/2025,Vitamin C,Supplement,210,10,2100,West,Clinic
9/13/2025,Amoxicillin,Antibiotic,44,20,880,North,Clinic
12/14/2025,Omeprazole,Gastro,214,12,2568,East,Clinic
2/11/2025,Azithromycin,Antibiotic,172,25,4300,North,Clinic
11/6/2025,Paracetamol,Tablet,163,5,815,North,Retail
4/10/2025,Amoxicillin,Antibiotic,84,20,1680,South,Hospital
2/14/2025,Insulin,Diabetes,113,50,5650,North,Hospital
2/18/2025,Aspirin,Tablet,172,7,1204,West,Retail
10/12/2025,Azithromycin,Antibiotic,152,25,3800,East,Hospital
10/14/2025,Paracetamol,Tablet,223,5,1115,North,Retail
6/20/2025,Omeprazole,Gastro,97,12,1164,West,Hospital
2/5/2025,Paracetamol,Tablet,235,5,1175,South,Hospital
8/20/2025,Metformin,Diabetes,84,15,1260,North,Hospital
7/21/2025,Metformin,Diabetes,165,15,2475,North,Hospital
4/26/2025,Aspirin,Tablet,232,7,1624,West,Clinic
4/7/2025,Ibuprofen,Pain Relief,35,8,280,North,Hospital
4/14/2025,Omeprazole,Gastro,155,12,1860,South,Clinic
10/7/2025,Cetirizine,Allergy,56,6,336,West,Retail
7/30/2025,Azithromycin,Antibiotic,179,25,4475,West,Retail
6/19/2025,Omeprazole,Gastro,192,12,2304,West,Retail
9/8/2025,Ibuprofen,Pain Relief,20,8,160,South,Clinic
5/18/2025,Aspirin,Tablet,124,7,868,South,Hospital
7/11/2025,Paracetamol,Tablet,214,5,1070,West,Hospital
9/25/2025,Omeprazole,Gastro,76,12,912,West,Hospital
2/6/2025,Cetirizine,Allergy,82,6,492,North,Clinic
9/2/2025,Aspirin,Tablet,111,7,777,North,Hospital
12/3/2025,Insulin,Diabetes,194,50,9700,North,Clinic
8/19/2025,Azithromycin,Antibiotic,41,25,1025,West,Clinic
6/19/2025,Ibuprofen,Pain Relief,224,8,1792,North,Retail
11/12/2025,Vitamin C,Supplement,120,10,1200,East,Hospital
12/16/2025,Aspirin,Tablet,164,7,1148,West,Retail
7/3/2025,Ibuprofen,Pain Relief,119,8,952,East,Hospital
8/22/2025,Vitamin C,Supplement,178,10,1780,North,Retail
11/22/2025,Omeprazole,Gastro,224,12,2688,North,Clinic
12/4/2025,Aspirin,Tablet,113,7,791,South,Clinic
4/7/2025,Metformin,Diabetes,107,15,1605,West,Clinic
8/28/2025,Azithromycin,Antibiotic,246,25,6150,West,Clinic
4/12/2025,Metformin,Diabetes,97,15,1455,West,Clinic
5/14/2025,Omeprazole,Gastro,204,12,2448,North,Hospital
12/23/2025,Azithromycin,Antibiotic,76,25,1900,North,Retail
1/13/2025,Aspirin,Tablet,49,7,343,South,Clinic
10/20/2025,Paracetamol,Tablet,105,5,525,West,Hospital
10/27/2025,Omeprazole,Gastro,73,12,876,North,Retail
11/29/2025,Ibuprofen,Pain Relief,102,8,816,West,Hospital
5/24/2025,Azithromycin,Antibiotic,62,25,1550,East,Hospital
9/11/2025,Aspirin,Tablet,57,7,399,West,Hospital
6/30/2025,Insulin,Diabetes,120,50,6000,East,Clinic
7/4/2025,Insulin,Diabetes,138,50,6900,North,Clinic
6/12/2025,Insulin,Diabetes,187,50,9350,South,Clinic
10/25/2025,Paracetamol,Tablet,55,5,275,South,Retail
10/24/2025,Vitamin C,Supplement,237,10,2370,East,Retail
7/3/2025,Aspirin,Tablet,201,7,1407,South,Hospital
1/23/2025,Omeprazole,Gastro,84,12,1008,South,Hospital
4/17/2025,Omeprazole,Gastro,182,12,2184,West,Retail
11/6/2025,Paracetamol,Tablet,229,5,1145,West,Retail
12/3/2025,Cetirizine,Allergy,196,6,1176,North,Hospital
12/24/2025,Amoxicillin,Antibiotic,195,20,3900,West,Retail
12/9/2025,Cetirizine,Allergy,48,6,288,West,Retail
4/28/2025,Azithromycin,Antibiotic,11,25,275,South,Clinic
5/18/2025,Cetirizine,Allergy,124,6,744,South,Hospital
4/21/2025,Ibuprofen,Pain Relief,70,8,560,West,Clinic
5/23/2025,Amoxicillin,Antibiotic,90,20,1800,North,Hospital
4/6/2025,Metformin,Diabetes,73,15,1095,South,Clinic
2/4/2025,Amoxicillin,Antibiotic,52,20,1040,North,Hospital
2/28/2025,Vitamin C,Supplement,181,10,1810,East,Retail
8/19/2025,Ibuprofen,Pain Relief,86,8,688,West,Retail
7/7/2025,Aspirin,Tablet,157,7,1099,South,Clinic
3/5/2025,Cetirizine,Allergy,203,6,1218,East,Hospital
8/21/2025,Vitamin C,Supplement,99,10,990,West,Retail
8/30/2025,Aspirin,Tablet,13,7,91,South,Clinic
1/14/2025,Paracetamol,Tablet,130,5,650,West,Retail
7/13/2025,Vitamin C,Supplement,92,10,920,West,Retail
2/14/2025,Azithromycin,Antibiotic,124,25,3100,North,Clinic
10/6/2025,Aspirin,Tablet,16,7,112,South,Hospital
10/10/2025,Amoxicillin,Antibiotic,12,20,240,East,Hospital
2/22/2025,Paracetamol,Tablet,42,5,210,West,Hospital
5/25/2025,Aspirin,Tablet,42,7,294,South,Clinic
8/14/2025,Amoxicillin,Antibiotic,220,20,4400,North,Retail
8/24/2025,Aspirin,Tablet,215,7,1505,West,Hospital
1/18/2025,Aspirin,Tablet,44,7,308,North,Hospital
8/13/2025,Metformin,Diabetes,174,15,2610,West,Retail
7/12/2025,Paracetamol,Tablet,146,5,730,North,Clinic
3/1/2025,Ibuprofen,Pain Relief,166,8,1328,South,Retail
3/30/2025,Vitamin C,Supplement,244,10,2440,West,Hospital
6/17/2025,Vitamin C,Supplement,50,10,500,North,Hospital
10/22/2025,Insulin,Diabetes,40,50,2000,West,Clinic
5/26/2025,Azithromycin,Antibiotic,172,25,4300,North,Clinic
1/17/2025,Azithromycin,Antibiotic,105,25,2625,West,Retail
1/6/2025,Omeprazole,Gastro,66,12,792,South,Hospital
9/23/2025,Aspirin,Tablet,146,7,1022,East,Retail
3/14/2025,Omeprazole,Gastro,238,12,2856,North,Retail
3/27/2025,Cetirizine,Allergy,122,6,732,West,Clinic
3/21/2025,Vitamin C,Supplement,28,10,280,North,Hospital
5/1/2025,Vitamin C,Supplement,207,10,2070,East,Clinic
6/30/2025,Aspirin,Tablet,224,7,1568,West,Hospital
7/25/2025,Aspirin,Tablet,210,7,1470,South,Retail
3/30/2025,Vitamin C,Supplement,181,10,1810,West,Hospital
8/13/2025,Metformin,Diabetes,141,15,2115,North,Clinic
9/21/2025,Vitamin C,Supplement,134,10,1340,West,Clinic
4/30/2025,Azithromycin,Antibiotic,18,25,450,North,Retail
2/20/2025,Metformin,Diabetes,14,15,210,South,Clinic
12/23/2025,Metformin,Diabetes,217,15,3255,South,Clinic
1/6/2025,Vitamin C,Supplement,220,10,2200,South,Hospital
12/26/2025,Insulin,Diabetes,97,50,4850,West,Clinic
7/1/2025,Metformin,Diabetes,99,15,1485,East,Clinic
12/25/2025,Aspirin,Tablet,89,7,623,West,Retail
1/25/2025,Paracetamol,Tablet,226,5,1130,North,Clinic
7/12/2025,Aspirin,Tablet,132,7,924,North,Clinic
10/15/2025,Azithromycin,Antibiotic,196,25,4900,South,Clinic
8/11/2025,Ibuprofen,Pain Relief,95,8,760,North,Hospital
8/12/2025,Azithromycin,Antibiotic,137,25,3425,South,Retail
2/12/2025,Metformin,Diabetes,222,15,3330,South,Hospital
5/10/2025,Cetirizine,Allergy,152,6,912,East,Retail
5/22/2025,Aspirin,Tablet,30,7,210,West,Clinic
12/10/2025,Paracetamol,Tablet,220,5,1100,South,Hospital
6/22/2025,Omeprazole,Gastro,128,12,1536,East,Clinic
9/13/2025,Metformin,Diabetes,129,15,1935,North,Clinic
6/14/2025,Paracetamol,Tablet,77,5,385,East,Clinic
10/2/2025,Azithromycin,Antibiotic,234,25,5850,North,Hospital
12/3/2025,Aspirin,Tablet,26,7,182,East,Clinic
1/5/2025,Amoxicillin,Antibiotic,21,20,420,West,Retail
2/21/2025,Paracetamol,Tablet,22,5,110,North,Clinic
1/26/2025,Cetirizine,Allergy,100,6,600,South,Hospital
12/6/2025,Amoxicillin,Antibiotic,22,20,440,North,Retail
8/25/2025,Azithromycin,Antibiotic,220,25,5500,North,Retail
9/2/2025,Metformin,Diabetes,38,15,570,West,Clinic
12/23/2025,Cetirizine,Allergy,203,6,1218,South,Retail
6/18/2025,Azithromycin,Antibiotic,194,25,4850,North,Retail
12/6/2025,Amoxicillin,Antibiotic,170,20,3400,North,Retail
7/13/2025,Metformin,Diabetes,46,15,690,West,Retail
9/30/2025,Ibuprofen,Pain Relief,177,8,1416,West,Clinic
12/17/2025,Omeprazole,Gastro,140,12,1680,East,Hospital
4/3/2025,Insulin,Diabetes,212,50,10600,South,Hospital
10/27/2025,Amoxicillin,Antibiotic,137,20,2740,North,Clinic
12/3/2025,Omeprazole,Gastro,246,12,2952,East,Retail
6/14/2025,Insulin,Diabetes,154,50,7700,East,Clinic
12/11/2025,Insulin,Diabetes,45,50,2250,West,Clinic
10/29/2025,Omeprazole,Gastro,19,12,228,West,Hospital
7/21/2025,Vitamin C,Supplement,28,10,280,East,Clinic
4/3/2025,Ibuprofen,Pain Relief,236,8,1888,South,Retail
7/27/2025,Paracetamol,Tablet,226,5,1130,North,Retail
6/30/2025,Azithromycin,Antibiotic,208,25,5200,South,Clinic
6/27/2025,Amoxicillin,Antibiotic,51,20,1020,North,Retail
7/29/2025,Ibuprofen,Pain Relief,176,8,1408,East,Hospital
6/26/2025,Cetirizine,Allergy,189,6,1134,South,Clinic
9/17/2025,Amoxicillin,Antibiotic,238,20,4760,East,Retail
10/26/2025,Vitamin C,Supplement,133,10,1330,North,Clinic
6/24/2025,Aspirin,Tablet,229,7,1603,South,Hospital
7/22/2025,Ibuprofen,Pain Relief,247,8,1976,South,Clinic
5/1/2025,Ibuprofen,Pain Relief,76,8,608,East,Retail
3/21/2025,Metformin,Diabetes,173,15,2595,South,Hospital
1/9/2025,Metformin,Diabetes,125,15,1875,South,Hospital
11/5/2025,Vitamin C,Supplement,44,10,440,South,Retail
5/31/2025,Omeprazole,Gastro,243,12,2916,North,Retail
7/13/2025,Aspirin,Tablet,112,7,784,North,Retail
11/2/2025,Insulin,Diabetes,32,50,1600,East,Clinic
10/15/2025,Aspirin,Tablet,119,7,833,West,Retail
2/9/2025,Ibuprofen,Pain Relief,245,8,1960,South,Retail
6/9/2025,Vitamin C,Supplement,153,10,1530,South,Hospital
1/24/2025,Azithromycin,Antibiotic,44,25,1100,South,Clinic
12/5/2025,Azithromycin,Antibiotic,183,25,4575,South,Hospital
11/12/2025,Paracetamol,Tablet,15,5,75,East,Retail
5/2/2025,Omeprazole,Gastro,39,12,468,East,Clinic
9/1/2025,Omeprazole,Gastro,51,12,612,West,Retail
8/15/2025,Ibuprofen,Pain Relief,105,8,840,North,Hospital
5/3/2025,Paracetamol,Tablet,125,5,625,North,Hospital
5/16/2025,Metformin,Diabetes,188,15,2820,South,Retail
4/3/2025,Aspirin,Tablet,63,7,441,East,Hospital
12/15/2025,Omeprazole,Gastro,249,12,2988,South,Retail
9/23/2025,Paracetamol,Tablet,223,5,1115,East,Clinic
9/19/2025,Aspirin,Tablet,225,7,1575,West,Clinic
8/23/2025,Amoxicillin,Antibiotic,108,20,2160,South,Clinic
11/7/2025,Metformin,Diabetes,107,15,1605,South,Hospital
6/18/2025,Ibuprofen,Pain Relief,235,8,1880,South,Clinic
8/14/2025,Amoxicillin,Antibiotic,247,20,4940,West,Retail
11/24/2025,Amoxicillin,Antibiotic,163,20,3260,South,Clinic
5/1/2025,Insulin,Diabetes,186,50,9300,West,Hospital
9/3/2025,Paracetamol,Tablet,77,5,385,North,Clinic
2/4/2025,Ibuprofen,Pain Relief,156,8,1248,South,Clinic
8/25/2025,Vitamin C,Supplement,222,10,2220,East,Clinic
8/29/2025,Vitamin C,Supplement,236,10,2360,West,Clinic
8/2/2025,Paracetamol,Tablet,183,5,915,East,Retail
11/25/2025,Cetirizine,Allergy,46,6,276,East,Hospital
1/26/2025,Paracetamol,Tablet,175,5,875,South,Hospital
12/11/2025,Azithromycin,Antibiotic,240,25,6000,South,Hospital
5/10/2025,Ibuprofen,Pain Relief,39,8,312,South,Retail
11/12/2025,Ibuprofen,Pain Relief,98,8,784,North,Clinic
7/25/2025,Ibuprofen,Pain Relief,170,8,1360,East,Clinic
6/6/2025,Aspirin,Tablet,152,7,1064,North,Clinic
12/10/2025,Insulin,Diabetes,27,50,1350,South,Clinic
3/17/2025,Aspirin,Tablet,120,7,840,West,Clinic
10/6/2025,Cetirizine,Allergy,38,6,228,North,Hospital
2/6/2025,Cetirizine,Allergy,21,6,126,South,Clinic
5/27/2025,Vitamin C,Supplement,107,10,1070,North,Clinic
8/24/2025,Vitamin C,Supplement,201,10,2010,East,Hospital
8/5/2025,Aspirin,Tablet,95,7,665,West,Hospital
10/12/2025,Amoxicillin,Antibiotic,29,20,580,East,Hospital
7/25/2025,Cetirizine,Allergy,23,6,138,East,Retail
12/14/2025,Cetirizine,Allergy,35,6,210,South,Clinic
4/14/2025,Azithromycin,Antibiotic,24,25,600,South,Clinic
9/17/2025,Amoxicillin,Antibiotic,147,20,2940,North,Hospital
7/6/2025,Insulin,Diabetes,245,50,12250,West,Clinic
12/7/2025,Vitamin C,Supplement,18,10,180,South,Clinic
8/12/2025,Amoxicillin,Antibiotic,200,20,4000,North,Clinic
10/27/2025,Amoxicillin,Antibiotic,125,20,2500,North,Retail
7/12/2025,Paracetamol,Tablet,250,5,1250,North,Retail
2/20/2025,Vitamin C,Supplement,47,10,470,South,Clinic
9/28/2025,Amoxicillin,Antibiotic,127,20,2540,South,Clinic
8/20/2025,Amoxicillin,Antibiotic,41,20,820,North,Clinic
5/28/2025,Metformin,Diabetes,202,15,3030,South,Hospital
6/15/2025,Aspirin,Tablet,109,7,763,West,Retail
11/16/2025,Aspirin,Tablet,143,7,1001,North,Retail
10/8/2025,Vitamin C,Supplement,230,10,2300,East,Retail
3/9/2025,Ibuprofen,Pain Relief,49,8,392,South,Clinic
1/8/2025,Ibuprofen,Pain Relief,148,8,1184,South,Clinic
10/18/2025,Vitamin C,Supplement,230,10,2300,North,Hospital
7/16/2025,Ibuprofen,Pain Relief,231,8,1848,West,Hospital
9/29/2025,Vitamin C,Supplement,102,10,1020,East,Clinic
10/19/2025,Insulin,Diabetes,71,50,3550,West,Clinic
9/5/2025,Cetirizine,Allergy,141,6,846,North,Retail
10/30/2025,Aspirin,Tablet,215,7,1505,East,Clinic
5/11/2025,Azithromycin,Antibiotic,179,25,4475,South,Retail
11/4/2025,Aspirin,Tablet,171,7,1197,West,Hospital
5/15/2025,Azithromycin,Antibiotic,114,25,2850,West,Clinic
7/26/2025,Insulin,Diabetes,105,50,5250,West,Clinic
1/27/2025,Ibuprofen,Pain Relief,195,8,1560,South,Retail
12/15/2025,Aspirin,Tablet,220,7,1540,South,Retail
5/1/2025,Paracetamol,Tablet,161,5,805,East,Hospital
11/19/2025,Metformin,Diabetes,106,15,1590,West,Retail
12/8/2025,Insulin,Diabetes,119,50,5950,South,Clinic
11/27/2025,Azithromycin,Antibiotic,91,25,2275,North,Clinic
4/6/2025,Insulin,Diabetes,161,50,8050,North,Retail
11/24/2025,Ibuprofen,Pain Relief,183,8,1464,West,Retail
6/17/2025,Amoxicillin,Antibiotic,129,20,2580,South,Clinic
1/13/2025,Vitamin C,Supplement,80,10,800,East,Hospital
7/28/2025,Omeprazole,Gastro,54,12,648,West,Retail
11/26/2025,Cetirizine,Allergy,235,6,1410,South,Hospital
3/19/2025,Metformin,Diabetes,243,15,3645,West,Retail
11/29/2025,Azithromycin,Antibiotic,122,25,3050,West,Hospital
8/19/2025,Vitamin C,Supplement,130,10,1300,East,Clinic
3/11/2025,Ibuprofen,Pain Relief,139,8,1112,East,Hospital
6/14/2025,Ibuprofen,Pain Relief,93,8,744,South,Hospital
7/9/2025,Metformin,Diabetes,123,15,1845,East,Clinic
9/19/2025,Amoxicillin,Antibiotic,197,20,3940,North,Retail
2/4/2025,Azithromycin,Antibiotic,206,25,5150,North,Clinic
9/28/2025,Metformin,Diabetes,201,15,3015,North,Retail
5/5/2025,Azithromycin,Antibiotic,17,25,425,West,Hospital
1/8/2025,Azithromycin,Antibiotic,206,25,5150,South,Clinic
7/26/2025,Amoxicillin,Antibiotic,184,20,3680,East,Hospital
12/25/2025,Ibuprofen,Pain Relief,138,8,1104,East,Hospital
12/12/2025,Omeprazole,Gastro,73,12,876,South,Hospital
9/26/2025,Vitamin C,Supplement,180,10,1800,East,Retail
5/26/2025,Azithromycin,Antibiotic,146,25,3650,East,Clinic
6/13/2025,Ibuprofen,Pain Relief,93,8,744,North,Hospital
5/26/2025,Amoxicillin,Antibiotic,177,20,3540,South,Hospital
1/29/2025,Cetirizine,Allergy,179,6,1074,West,Clinic
1/3/2025,Metformin,Diabetes,211,15,3165,East,Clinic
3/20/2025,Vitamin C,Supplement,206,10,2060,West,Clinic
8/2/2025,Vitamin C,Supplement,28,10,280,East,Clinic
7/2/2025,Paracetamol,Tablet,48,5,240,East,Hospital
8/26/2025,Vitamin C,Supplement,202,10,2020,South,Hospital
8/25/2025,Ibuprofen,Pain Relief,215,8,1720,East,Hospital
12/30/2025,Aspirin,Tablet,230,7,1610,West,Hospital
